2026-07-15 16:09:02 | INFO     | Emotion scores: {'angry': np.float32(0.00042570176), 'disgust': np.float32(2.4834973e-13), 'fear': np.float32(0.000104640174), 'happy': np.float32(0.017854044), 'sad': np.float32(0.166093), 'surprise': np.float32(2.0547078e-07), 'neutral': np.float32(99.81551)}
2026-07-15 16:09:02 | INFO     | Detected emotion: neutral
2026-07-15 16:09:02 | INFO     | Wallpaper selected: neutral_zen.png
2026-07-15 16:09:03 | INFO     | Wallpaper updated successfully to: C:\Users\vishn\OneDrive\Desktop\My_desktop\MoodWallpaper\wallpapers\neutral\neutral_zen.png
2026-07-15 16:09:03 | INFO     | Wallpaper changed to match mood: neutral
2026-07-15 16:09:03 | INFO     | Application finished.
2026-07-15 16:09:03 | INFO     | ============================================================
2026-07-15 16:09:28 | INFO     | ============================================================
2026-07-15 16:09:28 | INFO     | Mood-Based Dynamic Wallpaper System — Application started
2026-07-15 16:09:28 | INFO     | ============================================================
2026-07-15 16:09:28 | INFO     | Initializing webcam (index=0)...
2026-07-15 16:09:29 | INFO     | Camera initialized successfully.
2026-07-15 16:09:29 | INFO     | Image captured successfully (resolution: 640x480).
2026-07-15 16:09:30 | INFO     | Webcam released.
2026-07-15 16:09:30 | INFO     | Face detected (1 face(s) found).
2026-07-15 16:09:30 | INFO     | Analyzing emotion...
2026-07-15 16:09:31 | INFO     | Emotion detected: angry
2026-07-15 16:09:31 | INFO     | Emotion scores: {'angry': np.float32(44.87402), 'disgust': np.float32(0.11634397), 'fear': np.float32(35.5104), 'happy': np.float32(0.48886994), 'sad': np.float32(10.253191), 'surprise': np.float32(1.9175609), 'neutral': np.float32(6.839608)}
2026-07-15 16:09:31 | INFO     | Detected emotion: angry
2026-07-15 16:09:31 | INFO     | Wallpaper selected: angry_storm.png
2026-07-15 16:09:32 | INFO     | Wallpaper updated successfully to: C:\Users\vishn\OneDrive\Desktop\My_desktop\MoodWallpaper\wallpapers\angry\angry_storm.png
2026-07-15 16:09:32 | INFO     | Wallpaper changed to match mood: angry
2026-07-15 16:09:32 | INFO     | Application finished.
2026-07-15 16:09:32 | INFO     | ============================================================
2026-07-15 16:12:54 | INFO     | ============================================================
2026-07-15 16:12:54 | INFO     | Mood-Based Dynamic Wallpaper System — Application started
2026-07-15 16:12:54 | INFO     | ============================================================
2026-07-15 16:12:54 | INFO     | Initializing webcam (index=0)...
2026-07-15 16:12:55 | INFO     | Camera initialized successfully.
2026-07-15 16:12:55 | INFO     | Image captured successfully (resolution: 640x480).
2026-07-15 16:12:56 | INFO     | Webcam released.
2026-07-15 16:12:56 | INFO     | Face detected (1 face(s) found).
2026-07-15 16:12:56 | INFO     | Analyzing emotion...
2026-07-15 16:12:57 | INFO     | Emotion detected: fear
2026-07-15 16:12:57 | INFO     | Emotion scores: {'angry': np.float32(0.19858873), 'disgust': np.float32(1.6235657e-10), 'fear': np.float32(99.77902), 'happy': np.float32(7.4800078e-06), 'sad': np.float32(0.022266075), 'surprise': np.float32(3.7724298e-05), 'neutral': np.float32(7.505893e-05)}
2026-07-15 16:12:57 | INFO     | Detected emotion: fear
2026-07-15 16:12:57 | INFO     | Wallpaper selected: fear_dark_forest.png
2026-07-15 16:12:58 | INFO     | Wallpaper updated successfully to: C:\Users\vishn\OneDrive\Desktop\My_desktop\MoodWallpaper\wallpapers\fear\fear_dark_forest.png
2026-07-15 16:12:58 | INFO     | Wallpaper changed to match mood: fear
2026-07-15 16:12:58 | INFO     | Application finished.
2026-07-15 16:12:58 | INFO     | ============================================================
2026-07-15 16:13:31 | INFO     | ============================================================
2026-07-15 16:13:31 | INFO     | Mood-Based Dynamic Wallpaper System — Application started
2026-07-15 16:13:31 | INFO     | ============================================================
2026-07-15 16:13:31 | INFO     | Initializing webcam (index=0)...
2026-07-15 16:13:31 | INFO     | Camera initialized successfully.
2026-07-15 16:13:32 | INFO     | Image captured successfully (resolution: 640x480).
2026-07-15 16:13:32 | INFO     | Webcam released.
2026-07-15 16:13:32 | INFO     | Face detected (1 face(s) found).
2026-07-15 16:13:33 | INFO     | Analyzing emotion...
2026-07-15 16:13:33 | INFO     | Emotion detected: fear
2026-07-15 16:13:33 | INFO     | Emotion scores: {'angry': np.float32(17.234259), 'disgust': np.float32(4.6233985e-12), 'fear': np.float32(46.194004), 'happy': np.float32(0.020852018), 'sad': np.float32(36.5273), 'surprise': np.float32(2.350717e-06), 'neutral': np.float32(0.023584567)}
2026-07-15 16:13:33 | INFO     | Detected emotion: fear
2026-07-15 16:13:33 | INFO     | Wallpaper selected: fear_cathedral.png
2026-07-15 16:13:34 | INFO     | Wallpaper updated successfully to: C:\Users\vishn\OneDrive\Desktop\My_desktop\MoodWallpaper\wallpapers\fear\fear_cathedral.png
2026-07-15 16:13:34 | INFO     | Wallpaper changed to match mood: fear
2026-07-15 16:13:34 | INFO     | Application finished.
2026-07-15 16:13:34 | INFO     | ============================================================
2026-07-15 16:13:54 | INFO     | ============================================================
2026-07-15 16:13:54 | INFO     | Mood-Based Dynamic Wallpaper System — Application started
2026-07-15 16:13:54 | INFO     | ============================================================
2026-07-15 16:13:54 | INFO     | Initializing webcam (index=0)...
2026-07-15 16:13:54 | INFO     | Camera initialized successfully.
2026-07-15 16:13:55 | INFO     | Image captured successfully (resolution: 640x480).
2026-07-15 16:13:55 | INFO     | Webcam released.
2026-07-15 16:13:55 | INFO     | Face detected (1 face(s) found).
2026-07-15 16:13:56 | INFO     | Analyzing emotion...
2026-07-15 16:13:56 | INFO     | Emotion detected: angry
2026-07-15 16:13:56 | INFO     | Emotion scores: {'angry': np.float32(45.070217), 'disgust': np.float32(1.1286209e-11), 'fear': np.float32(39.301483), 'happy': np.float32(0.11943171), 'sad': np.float32(15.494954), 'surprise': np.float32(1.313684e-06), 'neutral': np.float32(0.013917546)}
2026-07-15 16:13:56 | INFO     | Detected emotion: angry
2026-07-15 16:13:56 | INFO     | Wallpaper selected: angry_storm.png
2026-07-15 16:13:57 | INFO     | Wallpaper updated successfully to: C:\Users\vishn\OneDrive\Desktop\My_desktop\MoodWallpaper\wallpapers\angry\angry_storm.png
2026-07-15 16:13:57 | INFO     | Wallpaper changed to match mood: angry
2026-07-15 16:13:57 | INFO     | Application finished.
2026-07-15 16:13:57 | INFO     | ============================================================
2026-07-15 16:32:17 | INFO     | ============================================================
2026-07-15 16:32:17 | INFO     | Mood-Based Dynamic Wallpaper System — Application started
2026-07-15 16:32:17 | INFO     | ============================================================
2026-07-15 16:32:17 | INFO     | Initializing webcam (index=0)...
2026-07-15 16:32:18 | INFO     | Camera initialized successfully.
2026-07-15 16:32:18 | INFO     | Image captured successfully (resolution: 640x480).
2026-07-15 16:32:19 | INFO     | Webcam released.
2026-07-15 16:32:19 | INFO     | Face detected (1 face(s) found).
2026-07-15 16:32:20 | INFO     | Analyzing emotion...
2026-07-15 16:32:20 | INFO     | Emotion detected: sad
2026-07-15 16:32:20 | INFO     | Emotion scores: {'angry': np.float32(2.0448367e-06), 'disgust': np.float32(4.359734e-14), 'fear': np.float32(0.00018760003), 'happy': np.float32(1.8431112e-06), 'sad': np.float32(99.99536), 'surprise': np.float32(9.762911e-13), 'neutral': np.float32(0.0044518905)}
2026-07-15 16:32:20 | INFO     | --------------------------------------------------
2026-07-15 16:32:20 | INFO     | [EMOTION]  Detected    : SAD
2026-07-15 16:32:20 | INFO     | [GOAL]     Therapeutic : Improve mood
